City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Iqaluit,CA,2022-04-05 20:07:43,63.7506,-68.5145,7.7,78,100,27.0
68,Leningradskiy,RU,2022-04-05 20:07:43,69.3833,178.4167,-6.48,85,9,13.69
69,Dikson,RU,2022-04-05 20:00:13,73.5069,80.5464,4.41,76,97,16.42
70,Filadelfia,US,2022-04-05 20:07:25,39.9523,-75.1638,58.77,58,100,12.66
71,Coahuayana,MX,2022-04-05 20:07:43,18.7333,-103.6833,85.77,44,26,8.3
72,Kathu,TH,2022-04-05 20:07:44,7.9178,98.3332,82.69,99,100,4.74
73,Tokmak,UA,2022-04-05 20:07:44,47.2514,35.7058,40.1,75,91,11.56
74,Carnarvon,AU,2022-04-05 20:07:44,-24.8667,113.6333,71.67,78,0,9.22
75,Clyde River,CA,2022-04-05 19:59:04,70.4692,-68.5914,8.83,78,20,3.44
76,Torbay,CA,2022-04-05 20:07:45,47.6666,-52.7314,42.89,85,75,18.41
77,Ushuaia,AR,2022-04-05 19:58:47,-54.8,-68.3,38.86,81,75,26.46
78,Avera,US,2022-04-05 20:07:45,33.194,-82.5271,67.51,92,100,16.55
79,Port Alfred,ZA,2022-04-05 20:00:16,-33.5906,26.891,64.02,77,5,9.1
80,Bluff,NZ,2022-04-05 20:07:45,-46.6,168.3333,54.19,72,94,34.27
81,Palmer,US,2022-04-05 20:07:46,42.1584,-72.3287,61.5,35,71,1.99
82,Kahului,US,2022-04-05 20:02:51,20.8947,-156.47,79.97,79,97,11.01
83,Hai Duong,VN,2022-04-05 20:07:46,20.9333,106.3167,66.2,66,17,2.53
84,Hofn,IS,2022-04-05 20:07:46,64.2539,-15.2082,30.45,56,31,21.18
85,Saldanha,ZA,2022-04-05 20:07:47,-33.0117,17.9442,61.54,78,0,8.08
86,Kodiak,US,2022-04-05 20:07:47,57.79,-152.4072,38.71,56,0,9.22
87,Gunjur,GM,2022-04-05 20:07:47,13.2019,-16.7339,71.67,68,0,11.5
88,Onalaska,US,2022-04-05 20:06:17,43.8844,-91.2351,52.27,67,100,10.36
89,Mukhen,RU,2022-04-05 20:07:48,48.1,136.1,27.68,70,39,14.07
90,Yar-Sale,RU,2022-04-05 20:07:48,66.8333,70.8333,26.89,97,100,23.87
91,Guerrero Negro,MX,2022-04-05 20:08:48,27.9769,-114.0611,75.18,45,1,9.13
92,Bouca,CF,2022-04-05 20:08:49,6.5105,18.2733,72.82,90,100,5.28
93,Longyan,CN,2022-04-05 20:08:49,25.1072,117.0225,58.39,81,9,1.3
94,Havelock,US,2022-04-05 20:08:49,34.8791,-76.9013,76.01,80,100,8.99
95,Tuatapere,NZ,2022-04-05 20:08:50,-46.1333,167.6833,50.05,79,58,12.97
96,Cururupu,BR,2022-04-05 20:07:10,-1.8283,-44.8683,75.6,96,100,3.69
97,Airai,TL,2022-04-05 20:03:57,-8.9266,125.4092,58.03,90,34,1.79
98,Belmonte,BR,2022-04-05 20:08:05,-15.8631,-38.8828,80.87,72,7,6.58
99,Winnemucca,US,2022-04-05 20:08:00,40.973,-117.7357,48.25,27,0,9.22
100,Kilindoni,TZ,2022-04-05 20:08:50,-7.9139,39.6668,82.92,73,0,10.65
101,Geraldton,AU,2022-04-05 20:08:51,-28.7667,114.6,63.01,72,57,10.36
102,Lapua,FI,2022-04-05 20:08:51,62.9693,23.0088,26.11,90,100,11.18
103,Cabo San Lucas,MX,2022-04-05 20:08:51,22.8909,-109.9124,79.61,64,0,10.36
104,Faanui,PF,2022-04-05 20:08:51,-16.4833,-151.75,83.05,76,7,20.15
105,Karratha,AU,2022-04-05 20:08:52,-20.7377,116.8463,82.11,65,0,8.34
106,Khao Yoi,TH,2022-04-05 20:08:52,13.2403,99.8243,81.99,58,17,3.15
107,Butaritari,KI,2022-04-05 20:00:23,3.0707,172.7902,81.0,81,34,17.0
108,Hilo,US,2022-04-05 20:03:55,19.7297,-155.09,74.12,90,100,3.0
