City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
189,Gizo,SB,82.56,overcast clouds,-8.103,156.8419,Imagination Island
193,Micheweni,TZ,85.44,scattered clouds,-4.9667,39.8333,
196,Buala,SB,80.15,light rain,-8.145,159.5921,Maringe Lagoon Lodge
199,Faanui,PF,82.04,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
205,Hobyo,SO,84.02,broken clouds,5.3505,48.5268,Iftin hotel hobyo
206,Progreso,MX,77.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
207,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
208,Manokwari,ID,79.48,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
210,Sur,OM,90.18,broken clouds,22.5667,59.5289,Sur Plaza Hotel
216,Tocopilla,CL,70.84,clear sky,-22.092,-70.1979,Hotel Galvarino
217,Sao Filipe,CV,77.13,clear sky,14.8961,-24.4956,Hotel Xaguate
219,Saldanha,ZA,78.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
222,Mitu,CO,72.7,overcast clouds,1.1983,-70.1733,
224,Buluang,PH,72.91,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
225,Lorengau,PG,79.59,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
227,Cam Ranh,VN,76.96,clear sky,11.9214,109.1591,OYO 598 Peony Hotel
229,Iralaya,HN,81.39,overcast clouds,15.0,-83.2333,Iglesia morava renovada
231,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
232,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
234,Meulaboh,ID,79.21,overcast clouds,4.1363,96.1285,Kost Pria
235,Pontian Kecil,MY,79.12,scattered clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
238,Vanimo,PG,78.37,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
239,Mercedes,AR,72.64,clear sky,-34.6515,-59.4307,Posada del Inti Centro
240,Poum,NC,80.51,overcast clouds,-20.2333,164.0167,
247,Korla,CN,74.37,overcast clouds,41.7597,86.1469,Gulisitan Hotel
250,Upington,ZA,80.98,clear sky,-28.4478,21.2561,River Place Manor
252,Veraval,IN,87.67,broken clouds,20.9,70.3667,Lords Inn Somnath
253,Tecoanapa,MX,79.61,scattered clouds,16.5167,-98.75,Hotel Manglares
257,Isangel,VU,80.49,overcast clouds,-19.55,169.2667,Tanna Lodge
259,Victoria,HK,74.32,clear sky,22.2855,114.1577,Mini Hotel Central
267,Jabinyanah,TN,75.0,clear sky,35.035,10.9081,maison belmabrouk
272,Boyolangu,ID,76.01,broken clouds,-8.1181,111.8935,Yos ega cv
273,Naifaru,MV,85.15,broken clouds,5.4444,73.3657,Naifaru Residence Guest House
275,Crucea,RO,70.09,scattered clouds,44.5333,28.2333,Mănăstirea Crucea
276,Namibe,AO,77.63,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
277,Qeshm,IR,93.07,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
281,Prado,BR,80.89,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
283,Tura,IN,76.06,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
285,Jose Bonifacio,BR,81.66,few clouds,-21.0528,-49.6883,HOTEL DOS VIAJANTES
287,Shaoyang,CN,70.25,broken clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
292,Karrapur,IN,93.67,clear sky,23.95,78.85,Patel chaat center
293,Arica,CL,70.03,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
297,Coahuayana,MX,72.79,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
300,Nalut,LY,81.86,broken clouds,30.3333,10.85,
305,Sinnamary,GF,77.54,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
309,Touros,BR,84.52,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
310,Vargem Grande,BR,86.92,overcast clouds,-3.5431,-43.9158,Pousada São Raimundo
311,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
315,Chuy,UY,74.35,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
319,Lethem,GY,81.01,overcast clouds,3.3803,-59.7968,Savannah Inn
320,Adrar,MR,91.44,clear sky,20.5022,-10.0711,
321,Seabra,BR,84.7,clear sky,-12.4186,-41.7703,Cambuí Hotel
322,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
325,Honiara,SB,78.15,overcast clouds,-9.4333,159.95,Heritage Park Hotel
331,Bongandanga,CD,85.98,broken clouds,1.5,21.05,
333,Jiaozuo,CN,71.46,scattered clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
334,Rocha,UY,74.91,clear sky,-34.4833,-54.3333,Hotel Arrarte
