City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Lavrentiya,RU,65.5833,-171.0,-15.12,96,100,4.45,overcast clouds
79,Kodiak,US,57.79,-152.4072,26.11,59,0,8.05,clear sky
80,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,94,100,17.0,overcast clouds
81,Saurimo,AO,-9.6608,20.3916,83.32,53,97,1.81,light rain
82,Esperance,AU,-33.8667,121.9,75.04,66,33,13.91,scattered clouds
83,San Cristobal,VE,7.7669,-72.225,69.98,67,97,3.83,overcast clouds
84,Kita,ML,13.0349,-9.4895,105.6,7,0,9.69,clear sky
85,Polczyn-Zdroj,PL,53.7642,16.0957,47.28,41,99,21.18,overcast clouds
86,Mareeba,AU,-17.0,145.4333,75.92,90,9,2.28,clear sky
87,Roald,NO,62.5833,6.1333,39.34,65,40,6.91,scattered clouds
88,Tuktoyaktuk,CA,69.4541,-133.0374,6.8,78,40,3.44,scattered clouds
89,Khatanga,RU,71.9667,102.5,4.84,95,33,6.22,scattered clouds
90,Turukhansk,RU,65.8167,87.9833,16.68,90,100,1.36,overcast clouds
91,Hilo,US,19.7297,-155.09,69.53,86,100,1.99,overcast clouds
92,Hermanus,ZA,-34.4187,19.2345,67.8,54,71,22.03,broken clouds
93,Sorong,ID,-0.8833,131.25,81.79,78,100,6.87,light rain
94,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,75,14.97,light intensity shower rain
95,Bengkulu,ID,-3.8004,102.2655,77.5,84,84,2.48,broken clouds
96,Roma,US,43.2128,-75.4557,46.72,96,100,5.75,overcast clouds
97,Klaksvik,FO,62.2266,-6.589,36.52,74,98,27.34,overcast clouds
98,Margate,GB,51.3813,1.3862,49.1,68,100,7.0,overcast clouds
99,Anadyr,RU,64.75,177.4833,-7.1,77,0,0.0,clear sky
100,Basoko,CD,1.2391,23.616,73.65,90,100,3.62,overcast clouds
101,Zhob,PK,31.3411,69.4481,86.25,8,0,15.79,clear sky
102,Popondetta,PG,-8.7537,148.2534,74.59,97,100,2.86,overcast clouds
103,Tasiilaq,GL,65.6145,-37.6368,23.16,93,100,10.18,light snow
104,Goure,NE,13.9835,10.2704,109.02,5,7,11.16,clear sky
105,Cockburn Town,TC,21.4612,-71.1419,78.49,76,15,19.39,few clouds
106,Saint Anthony,US,45.0205,-93.218,34.25,70,100,14.97,overcast clouds
107,Tessalit,ML,20.1986,1.0114,104.59,6,3,11.21,clear sky
108,High Rock,BS,26.6208,-78.2833,77.02,80,28,17.11,scattered clouds
109,Beyneu,KZ,45.3167,55.2,65.43,40,100,22.48,overcast clouds
110,Fort Saint James,CA,54.4333,-124.25,35.42,99,100,3.42,overcast clouds
111,Puerto Plata,DO,19.7934,-70.6884,82.24,74,20,9.22,few clouds
112,Greencastle,US,39.6445,-86.8647,38.37,88,100,8.05,overcast clouds
113,Manzhouli,CN,49.6,117.4333,43.12,23,0,17.83,clear sky
114,Yar-Sale,RU,66.8333,70.8333,0.21,92,16,8.99,few clouds
115,Krasnoarmeysk,RU,51.0239,45.6969,57.15,55,97,16.37,overcast clouds
116,Yulara,AU,-25.2406,130.9889,71.44,28,5,5.75,clear sky
117,Puerto Ayora,EC,-0.7393,-90.3518,77.59,86,27,7.56,scattered clouds
118,Severo-Kurilsk,RU,50.6789,156.125,30.02,96,100,17.87,snow
119,Cuamba,MZ,-14.8031,36.5372,80.08,76,100,3.76,light rain
120,Kisangani,CD,0.5167,25.2,79.18,65,100,2.33,overcast clouds
121,Avarua,CK,-21.2078,-159.775,78.85,94,40,6.91,scattered clouds
122,Mahebourg,MU,-20.4081,57.7,79.25,94,75,14.97,light intensity shower rain
123,Grindavik,IS,63.8424,-22.4338,34.27,44,0,6.91,clear sky
124,Bajah,YE,13.8141,44.6301,83.1,31,73,13.85,broken clouds
125,Constitucion,CL,-35.3333,-72.4167,60.1,76,22,4.63,few clouds
126,Victor Harbor,AU,-35.5667,138.6167,60.01,91,7,7.47,clear sky
127,Kavieng,PG,-2.5744,150.7967,77.92,90,100,11.61,moderate rain
128,Bredasdorp,ZA,-34.5322,20.0403,63.63,54,89,19.17,overcast clouds
129,Gobabis,NA,-22.45,18.9667,84.97,22,11,16.02,few clouds
130,Ushtobe,KZ,45.2514,77.9838,66.15,40,100,7.36,overcast clouds
131,Kirksville,US,40.1948,-92.5833,33.06,85,100,11.5,overcast clouds
132,Thompson,CA,55.7435,-97.8558,21.36,73,0,2.3,clear sky
133,Saiha,IN,22.4833,92.9667,74.23,45,0,0.78,clear sky
134,Barrow,US,71.2906,-156.7887,-11.18,84,0,6.91,clear sky
135,Bandarbeyla,SO,9.4942,50.8122,83.7,68,100,8.9,overcast clouds
136,Hasaki,JP,35.7333,140.8333,50.4,55,0,12.62,clear sky
137,Pocone,BR,-16.2567,-56.6228,86.05,58,13,4.43,few clouds
138,Mukhtolovo,RU,55.4644,43.1953,49.01,81,26,12.21,scattered clouds
139,Chokurdakh,RU,70.6333,147.9167,-12.24,93,97,10.22,overcast clouds
140,Butaritari,KI,3.0707,172.7902,81.01,79,100,13.0,light rain
141,Alice Town,BS,25.7167,-79.3,76.32,79,56,17.0,broken clouds
142,Porto Santo,PT,33.072,-16.3415,64.78,59,40,6.91,scattered clouds
143,Fort Smith,US,35.3859,-94.3986,47.34,55,0,17.27,clear sky
144,Lexington,US,37.9887,-84.4777,43.34,79,0,8.05,clear sky
145,Inirida,CO,3.8653,-67.9239,83.84,73,89,1.32,overcast clouds
146,Bukachacha,RU,52.9833,116.9167,29.79,67,6,6.06,clear sky
147,Cao Bang,VN,22.6667,106.25,69.85,53,0,1.74,clear sky
148,Saint-Philippe,RE,-21.3585,55.7679,78.39,85,71,13.71,light rain
149,Provideniya,RU,64.3833,-173.3,-2.29,99,100,4.18,overcast clouds
150,Puerto Suarez,BO,-18.95,-57.8,88.36,78,0,9.22,clear sky
151,Krasnoborsk,RU,61.5598,45.934,34.0,99,100,8.25,snow
152,Weinan,CN,34.5036,109.5089,70.23,34,100,8.14,overcast clouds
153,Gabu,GW,12.2833,-14.2167,108.3,11,12,7.47,few clouds
154,Kendari,ID,-3.945,122.4989,75.85,93,100,4.14,light rain
155,Mogosesti,RO,47.0333,27.5333,70.84,31,0,17.27,clear sky
156,Isla Vista,US,34.4133,-119.861,74.35,49,0,0.0,clear sky
157,Dingle,PH,10.9995,122.6711,75.09,92,100,7.7,light rain
158,Poyarkovo,RU,49.6,128.6833,24.39,97,70,3.06,broken clouds
159,Ciudad Bolivar,VE,8.1222,-63.5497,87.71,48,58,11.83,broken clouds
160,Muravlenko,RU,63.7898,74.523,6.69,94,92,10.07,overcast clouds
161,The Pas,CA,53.8251,-101.2541,24.82,63,0,8.05,clear sky
162,Siavonga,ZM,-16.5382,28.7088,84.11,53,93,8.1,overcast clouds
163,Porto Novo,BJ,6.4965,2.6036,90.27,57,98,12.48,overcast clouds
164,Pechory,RU,57.8164,27.6119,40.46,76,69,14.12,broken clouds
165,Clyde River,CA,70.4692,-68.5914,5.23,85,100,9.22,light snow
166,Georgetown,MY,5.4112,100.3354,84.13,77,20,3.44,few clouds
167,Pevek,RU,69.7008,170.3133,-24.23,98,70,1.99,broken clouds
168,Port Blair,IN,11.6667,92.75,82.44,78,40,2.3,mist
169,San Policarpo,PH,12.1791,125.5072,79.38,84,100,14.07,light rain
170,Kahului,US,20.8947,-156.47,73.85,77,20,17.27,few clouds
171,Katsuura,JP,35.1333,140.3,59.81,69,36,14.29,scattered clouds
172,Ostrovnoy,RU,68.0531,39.5131,31.03,90,100,19.08,overcast clouds
173,Port Alfred,ZA,-33.5906,26.891,61.18,82,100,3.0,overcast clouds
174,Vostok,RU,46.4856,135.8833,28.42,95,100,3.94,overcast clouds
175,Severodvinsk,RU,64.5635,39.8302,39.31,91,100,16.04,overcast clouds
176,Airai,TL,-8.9266,125.4092,59.5,85,100,2.84,overcast clouds
177,Kautokeino,NO,69.0125,23.0412,26.47,91,100,21.99,overcast clouds
178,Isiro,CD,2.7739,27.616,87.3,43,92,2.82,overcast clouds
179,Hovd,MN,48.0056,91.6419,53.31,43,37,23.51,scattered clouds
180,Taltal,CL,-25.4,-70.4833,66.81,69,15,3.58,few clouds
181,Hambantota,LK,6.1241,81.1185,73.74,100,75,5.75,broken clouds
182,Lebu,CL,-37.6167,-73.65,57.96,82,97,9.91,overcast clouds
183,Filadelfia,US,39.9523,-75.1638,54.05,82,0,11.5,clear sky
184,Mizoch,UA,50.4,26.15,53.51,51,68,20.15,broken clouds
185,Shubarshi,KZ,48.5872,57.1869,55.33,52,100,14.43,overcast clouds
186,Ribeira Grande,PT,38.5167,-28.7,63.0,88,75,19.57,broken clouds
187,Salalah,OM,17.0151,54.0924,84.29,70,0,8.05,clear sky
188,Marsh Harbour,BS,26.5412,-77.0636,79.07,73,40,16.28,scattered clouds
189,Gizo,SB,-8.103,156.8419,82.56,77,97,10.74,overcast clouds
190,Dikson,RU,73.5069,80.5464,9.82,93,100,9.86,overcast clouds
191,Port Macquarie,AU,-31.4333,152.9167,64.89,83,87,7.18,overcast clouds
192,Skjervoy,NO,70.0311,20.9714,33.8,66,90,21.27,overcast clouds
193,Micheweni,TZ,-4.9667,39.8333,85.44,65,35,6.35,scattered clouds
194,Plettenberg Bay,ZA,-34.0527,23.3716,61.74,68,80,13.87,broken clouds
195,Silvan,TR,38.1419,41.0081,64.69,80,100,11.27,overcast clouds
196,Buala,SB,-8.145,159.5921,80.15,85,84,8.68,light rain
197,Hofn,IS,64.2539,-15.2082,35.62,35,0,10.36,clear sky
198,Pisco,PE,-13.7,-76.2167,66.25,88,0,2.3,clear sky
199,Faanui,PF,-16.4833,-151.75,82.04,73,100,17.49,light rain
200,Kenai,US,60.5544,-151.2583,33.03,83,100,6.91,light snow
201,Laguna,US,38.421,-121.4238,59.14,76,0,0.0,clear sky
202,Svetlyy,RU,54.675,20.1347,46.45,54,67,18.3,broken clouds
203,Atherton,GB,53.5237,-2.4935,52.36,52,56,5.99,broken clouds
204,Antofagasta,CL,-23.65,-70.4,63.68,67,4,6.02,clear sky
205,Hobyo,SO,5.3505,48.5268,84.02,71,56,13.67,broken clouds
206,Progreso,MX,21.2833,-89.6667,77.11,59,98,20.49,overcast clouds
207,Port Moresby,PG,-9.4431,147.1797,76.42,100,40,4.61,scattered clouds
208,Manokwari,ID,-0.8667,134.0833,79.48,82,100,4.21,overcast clouds
209,Upernavik,GL,72.7868,-56.1549,9.48,88,100,5.86,overcast clouds
210,Sur,OM,22.5667,59.5289,90.18,37,75,2.91,broken clouds
211,Timmins,CA,48.4669,-81.3331,35.42,100,100,4.61,mist
212,Dunedin,NZ,-45.8742,170.5036,52.81,68,93,8.99,overcast clouds
213,West Richland,US,46.3043,-119.3614,55.31,57,0,17.0,clear sky
214,Mnogovershinnyy,RU,53.9353,139.9242,7.5,97,52,0.85,broken clouds
215,Macas,EC,-2.3167,-78.1167,69.55,94,75,3.44,broken clouds
216,Tocopilla,CL,-22.092,-70.1979,70.84,65,9,5.12,clear sky
